categoria,item,descricao,valor,url_foto
Plantas,Cacto Dançarino,"Este cacto dançarino animará qualquer canto da casa! Seu design único e movimentos contagiantes vão fazer você sorrir mesmo nos dias mais cinzentos.",30,URL_FOTO_AQUI
Cozinha,Porta-temperos Robô,"Um porta-temperos em forma de robô, perfeito para adicionar um toque de humor e tecnologia à sua cozinha.",45,URL_FOTO_AQUI
Banheiro,Porta-papel higiênico Girafa,"Este porta-papel higiênico em forma de girafa vai transformar a hora do banheiro em um momento mais descontraído e divertido.",35,URL_FOTO_AQUI
Decoração,Relógio de parede Bacon,"Um relógio de parede em formato de bacon, porque quem não ama bacon? É hora de bacon o tempo todo!",40,URL_FOTO_AQUI
Decoração,Almofada Emoji,"Deixe sua sala mais divertida com almofadas em formato de emoji. Escolha seus favoritos e expresse suas emoções!",20,URL_FOTO_AQUI
Jardim,Gnomo de Jardim Zumbi,"Proteja seu jardim dos invasores com um gnomo de jardim zumbi. Cuidado! Eles mordem.",50,URL_FOTO_AQUI
Cozinha,Abridor de garrafa de parede Hulk,"Abra suas garrafas com a força do Hulk! Este abridor de garrafa de parede com o braço do Hulk vai deixar seu happy hour mais incrível.",25,URL_FOTO_AQUI
Cama,Lençol Fantasma,"Deixe suas noites de sono mais assustadoramente divertidas com este lençol em formato de fantasma!",60,URL_FOTO_AQUI
Quarto,Cabideiro Octopus,"Organize suas roupas e acessórios com este cabideiro em forma de polvo. Muito útil e cheio de estilo!",40,URL_FOTO_AQUI
Cozinha,Porta-guardanapos Dentes,"Adicione um toque de humor à sua mesa com este porta-guardanapos em formato de dentes. Sua refeição nunca mais será a mesma!",20,URL_FOTO_AQUI
Decoração,Mapa da Terra Média,"Mostre seu amor por Senhor dos Anéis com este mapa da Terra Média emoldurado. Ótimo para decorar sua casa e se aventurar em terras distantes.",80,URL_FOTO_AQUI
Quarto,Fronha Naruto,"Durma com os ninjas de Naruto! Esta fronha estampada com os personagens de Naruto vai trazer ação e aventura para o seu quarto.",30,URL_FOTO_AQUI
Decoração,Caneca de café TARDIS,"Para os fãs de Doctor Who, esta caneca em forma de TARDIS vai fazer sua bebida parecer maior por dentro!",25,URL_FOTO_AQUI
Cozinha,Cortador de Pizza Sabre de Luz,"Corte sua pizza com estilo, usando este cortador de pizza em forma de sabre de luz de Star Wars. Que a força esteja com você!",20,URL_FOTO_AQUI
Decoração,Relógio de Parede Pac-Man,"Reviva os clássicos dos videogames com este relógio de parede Pac-Man. Uma ótima maneira de adicionar um toque retrô à sua casa.",45,URL_FOTO_AQUI
Cozinha,Porta-copos Super Mario,"Proteja suas mesas com estilo, usando estes porta-copos com tema Super Mario. Um presente perfeito para qualquer fã de videogames!",15,URL_FOTO_AQUI
Decoração,Poster Minimalista Game of Thrones,"Decore suas paredes com este pôster minimalista de Game of Thrones, apresentando os emblemas das casas mais famosas de Westeros.",35,URL_FOTO_AQUI
Eletrônicos,Teclado Mecânico RGB,"Dê um upgrade no seu setup com este teclado mecânico RGB, perfeito para gamers e entusiastas da cultura nerd.",100,URL_FOTO_AQUI
Decoração,Luminária Super-Heróis,"Ilumine seu ambiente com esta luminária criativa com silhuetas de seus super-heróis favoritos. Uma ótima peça de decoração para qualquer fã.",60,URL_FOTO_AQUI
Vestuário,Meias Divertidas Geek,"Vista-se com estilo e mostre seu amor pela cultura nerd com estas meias divertidas e estilosas com temas geek!",12,URL_FOTO_AQUI
Jogos,Quebra-cabeça 3D Hogwarts,"Monte sua própria versão 3D do castelo de Hogwarts com este desafiador quebra-cabeça, perfeito para fãs de Harry Potter.",50,URL_FOTO_AQUI
Eletrônicos,Headset Gamer,"Melhore sua experiência de jogo com este headset gamer de alta qualidade, com som surround e microfone com cancelamento de ruído.",250,URL_FOTO_AQUI
Decoração,Estatueta Sideshow Senhor dos Anéis,"Adicione esta incrível estatueta Sideshow de um personagem icônico de Senhor dos Anéis à sua coleção e impressione seus amigos.",350,URL_FOTO_AQUI
Eletrônicos,Console Retrô,"Reviva os clássicos dos videogames com este console retrô, que inclui centenas de jogos nostálgicos para você se divertir.",300,URL_FOTO_AQUI
Decoração,Quadro Decorativo em Tela Star Wars,"Mostre seu amor pela saga Star Wars com este quadro decorativo em tela de alta qualidade, representando uma cena icônica da série.",220,URL_FOTO_AQUI
Eletrônicos,Smart Display,"Um Smart Display para controlar dispositivos inteligentes, assistir vídeos e fazer chamadas de vídeo, perfeito para entusiastas da tecnologia e cultura nerd.",280,URL_FOTO_AQUI
Jogos,Tabuleiro de Xadrez Temático,"Aprimore suas habilidades de xadrez com este tabuleiro de xadrez temático, com peças inspiradas em personagens de sua franquia favorita.",250,URL_FOTO_AQUI
Decoração,Action Figure Naruto Edição Limitada,"Celebre seu amor por Naruto com esta incrível action figure edição limitada, perfeita para adicionar à sua coleção de itens exclusivos.",350,URL_FOTO_AQUI
Livros,Biblioteca de Histórias em Quadrinhos,"Monte sua própria biblioteca de histórias em quadrinhos com esta coleção premium de edições encadernadas de suas séries favoritas.",400,URL_FOTO_AQUI
Decoração,Ilustração Personalizada,"Adquira uma ilustração personalizada de você e seu parceiro(a) no estilo de seu desenho animado ou filme favorito, feita por um artista profissional.",200,URL_FOTO_AQUI
Jogos,Edição de Colecionador de Videogame,"Compre a edição de colecionador de seu videogame favorito, que inclui itens exclusivos, como estatuetas, artbooks e muito mais.",250,URL_FOTO_AQUI
