categoria,item,descricao,valor,url_foto
Viagem,Passagem para Maragogi,"Voe para Maragogi, onde as águas cristalinas e as praias paradisíacas esperam por você. Será como estar em um comercial de margarina!",1500,URL_FOTO_AQUI
Passeio,Passeio nas Dunas,"Deslize pelas dunas em um emocionante passeio de buggy, seguido de um piquenique ao pôr do sol. Não se esqueça de segurar o chapéu!",600,URL_FOTO_AQUI
Jantar,Jantar à Luz de Velas,"Desfrute de um jantar romântico à luz de velas em um restaurante sofisticado. Não se preocupe, não colocaremos velas demais!",300,URL_FOTO_AQUI
Aventura,Trilha nas Montanhas,"Explore a natureza em uma trilha guiada nas montanhas, repleta de belas paisagens e ar fresco. Será uma aventura inesquecível!",400,URL_FOTO_AQUI
Relaxamento,Massagem para Casal,"Relaxe e aproveite uma massagem para casal em um spa luxuoso. Vocês merecem esse mimo!",500,URL_FOTO_AQUI
Experiência,Aula de Dança,"Aprenda alguns passos de dança em uma aula divertida e romântica. Quem sabe vocês não arrasam na pista de dança na próxima festa?",250,URL_FOTO_AQUI
Passeio,Passeio de Balão,"Flutue pelos céus em um passeio de balão e desfrute de vistas deslumbrantes. Não é todo dia que se anda nas nuvens!",800,URL_FOTO_AQUI
Experiência,Noite de Karaokê,"Solte a voz em uma noite de karaokê e mostre seu talento escondido. Será uma noite para recordar (ou esquecer)!",200,URL_FOTO_AQUI
Passeio,Passeio de Barco,"Navegue pelas águas cristalinas em um passeio de barco relaxante e romântico. Quem sabe vocês não encontram o Jack e a Rose por lá?",700,URL_FOTO_AQUI
Experiência,Aula de Culinária,"Aventurem-se juntos na cozinha em uma aula de culinária e aprendam a preparar pratos deliciosos. Quem sabe vocês não viram chefs de primeira?",350,URL_FOTO_AQUI
